resourcename,resourcetype,resourcegroup,subscriptionname,recommendationdisplayname,state,severity,os,environment,businessowner,In-HyperCare-scope
st1w3349,virtualmachines,st-storm-prod-neu-rg,production,adaptive application controls for whitelisting safe applications should be enabled on your machines,unhealthy,high,windows,prod,homall1,True
st3w10073,virtualmachines,st-sapss-dev-neu-rg,production,adaptive application controls for whitelisting safe applications should be enabled on your machines,unhealthy,high,windows,dev,simon.mac@severntrent.co.uk,False
st1w10060,virtualmachines,st-safeq-prod-neu-rg,production,adaptive application controls for whitelisting safe applications should be enabled on your machines,unhealthy,high,windows,prod,stuart brown,False
st1w2744-migrated,virtualmachines,st-printandfile-prod-neu-rg,production,adaptive application controls for whitelisting safe applications should be enabled on your machines,unhealthy,high,windows,prod,stuart brown,True
st1w2734,virtualmachines,st-printandfile-prod-neu-rg,production,adaptive application controls for whitelisting safe applications should be enabled on your machines,unhealthy,high,windows,prod,stuart brown,True
st1w10088,virtualmachines,st-pkiroot-prod-neu-rg,production,adaptive application controls for whitelisting safe applications should be enabled on your machines,unhealthy,high,windows,prod,,False
st1w10087,virtualmachines,st-pkiroot-prod-neu-rg,production,adaptive application controls for whitelisting safe applications should be enabled on your machines,unhealthy,high,windows,prod,,False
st1w10139,virtualmachines,st-pki-prod-neu-rg,production,adaptive application controls for whitelisting safe applications should be enabled on your machines,unhealthy,high,windows,prod,,False
st1w10137,virtualmachines,st-pki-prod-neu-rg,production,adaptive application controls for whitelisting safe applications should be enabled on your machines,unhealthy,high,windows,prod,,False
st1w10093,virtualmachines,st-pki-prod-neu-rg,production,adaptive application controls for whitelisting safe applications should be enabled on your machines,unhealthy,high,windows,prod,,False
st1w10092,virtualmachines,st-pki-prod-neu-rg,production,adaptive application controls for whitelisting safe applications should be enabled on your machines,unhealthy,high,windows,prod,,False
st1w10091,virtualmachines,st-pki-prod-neu-rg,production,adaptive application controls for whitelisting safe applications should be enabled on your machines,unhealthy,high,windows,prod,,False
st1w10090,virtualmachines,st-pki-prod-neu-rg,production,adaptive application controls for whitelisting safe applications should be enabled on your machines,unhealthy,high,windows,prod,,False
