resourcename,resourcetype,resourcegroup,subscriptionname,recommendationdisplayname,state,severity,os,environment,businessowner,In-HyperCare-scope
st1w10023,virtualmachines,st-chatbots-prod-neu-rg,production,disk encryption should be applied on virtual machines,unhealthy,high,windows,prod,bill.wilson@severntrent.co.uk,False
st1w10081,virtualmachines,st-ctxmgmt-prod-neu-rg,production,disk encryption should be applied on virtual machines,unhealthy,high,windows,prod,david kent,False
st1w10082,virtualmachines,st-ctxmgmt-prod-neu-rg,production,disk encryption should be applied on virtual machines,unhealthy,high,windows,prod,david kent,False
st1w10138,virtualmachines,st-ctxmgmt-prod-neu-rg,production,disk encryption should be applied on virtual machines,unhealthy,high,windows,prod,,False
st1w10030,virtualmachines,st-epp-prod-neu-rg,production,disk encryption should be applied on virtual machines,unhealthy,high,windows,prod,sam.mathew@severntrent.co.uk,False
st1l10032,virtualmachines,st-logrhythm-ss-neu-rg,production,disk encryption should be applied on virtual machines,unhealthy,high,linux,ss,,False
st1w10024,virtualmachines,st-monitoring-ss-neu-rg,production,disk encryption should be applied on virtual machines,unhealthy,high,windows,ss,mark.gwynne@severntrent.co.uk,False
st1l10080,virtualmachines,st-netbase-prod-neu-rg,production,disk encryption should be applied on virtual machines,unhealthy,high,linux,prod,paul taylor,False
st1l10085,virtualmachines,st-netbase-prod-weu-rg,production,disk encryption should be applied on virtual machines,unhealthy,high,linux,prod,paul taylor,False
st4w10048,virtualmachines,st-sapss-dev-neu-rg,production,disk encryption should be applied on virtual machines,unhealthy,high,windows,dev,simon.mac@severntrent.co.uk,False
st1w10031,virtualmachines,st-vulman-prod-neu-rg,production,disk encryption should be applied on virtual machines,unhealthy,high,windows,prod,sam.mathew@severntrent.co.uk,False
asr-test-002,virtualmachines,asr-replication-asr,production,disk encryption should be applied on virtual machines,unhealthy,high,windows,,,False
st4w10094,virtualmachines,st-sap-dev-neu-rg,non-production,disk encryption should be applied on virtual machines,unhealthy,high,windows,dev,simon.mac@severntrent.co.uk,False
st2l10004,virtualmachines,st-oracledatastore-preprod-neu-rg,non-production,disk encryption should be applied on virtual machines,unhealthy,high,linux,preprod,swatsoa,False
st4l10011,virtualmachines,st-oracledatastore-devtest-neu-rg,non-production,disk encryption should be applied on virtual machines,unhealthy,high,linux,devtest,mark adams,
st3l10083,virtualmachines,st-netbase-test-neu-rg,non-production,disk encryption should be applied on virtual machines,unhealthy,high,linux,test,paul taylor,False
linvmpoc,virtualmachines,st-netbase-test-neu-rg,non-production,disk encryption should be applied on virtual machines,unhealthy,high,linux,test,paul taylor,False
st2l10084,virtualmachines,st-netbase-preprod-neu-rg,non-production,disk encryption should be applied on virtual machines,unhealthy,high,linux,preprod,paul taylor,False
st3w10118,virtualmachines,st-nap-test-neu-rg,non-production,disk encryption should be applied on virtual machines,unhealthy,high,windows,test,,False
st3w10117,virtualmachines,st-nap-test-neu-rg,non-production,disk encryption should be applied on virtual machines,unhealthy,high,windows,test,,False
st3w10116,virtualmachines,st-nap-test-neu-rg,non-production,disk encryption should be applied on virtual machines,unhealthy,high,windows,test,,False
