resourcename,resourcetype,resourcegroup,subscriptionname,recommendationdisplayname,state,severity,os,environment,businessowner,In-HyperCare-scope
st1w10061,virtualmachines,st-datastore-prod-weu-rg,production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,prod,mark gwynne,False
st1w10076,virtualmachines,st-netbase-prod-neu-rg,production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,prod,paul taylor,False
st1w10077,virtualmachines,st-netbase-prod-neu-rg,production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,prod,paul taylor,False
st1w10078,virtualmachines,st-netbase-prod-neu-rg,production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,prod,paul taylor,False
st1w10079,virtualmachines,st-netbase-prod-neu-rg,production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,prod,paul taylor,False
st1l10085,virtualmachines,st-netbase-prod-weu-rg,production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,linux,prod,paul taylor,False
st1w10089,virtualmachines,st-pki-prod-neu-rg,production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,prod,,False
st1w10090,virtualmachines,st-pki-prod-neu-rg,production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,prod,,False
st1w10091,virtualmachines,st-pki-prod-neu-rg,production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,prod,,False
st1w10092,virtualmachines,st-pki-prod-neu-rg,production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,prod,,False
st1w10093,virtualmachines,st-pki-prod-neu-rg,production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,prod,,False
st1l10080,virtualmachines,st-netbase-prod-neu-rg,production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,linux,prod,paul taylor,False
st1w10137,virtualmachines,st-pki-prod-neu-rg,production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,prod,,False
st1w2732,virtualmachines,st-printandfile-prod-neu-rg,production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,prod,stuart brown,True
st1w2733,virtualmachines,st-printandfile-prod-neu-rg,production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,prod,stuart brown,True
st1w2734,virtualmachines,st-printandfile-prod-neu-rg,production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,prod,stuart brown,True
st1w2744-migrated,virtualmachines,st-printandfile-prod-neu-rg,production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,prod,stuart brown,True
st1w10058,virtualmachines,st-safeq-prod-neu-rg,production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,prod,stuart brown,False
st1w10059,virtualmachines,st-safeq-prod-neu-rg,production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,prod,stuart brown,False
st1w10060,virtualmachines,st-safeq-prod-neu-rg,production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,prod,stuart brown,False
st3w10073,virtualmachines,st-sapss-dev-neu-rg,production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,dev,simon.mac@severntrent.co.uk,False
st4w10048,virtualmachines,st-sapss-dev-neu-rg,production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,dev,simon.mac@severntrent.co.uk,False
st4w10049,virtualmachines,st-sapss-dev-neu-rg,production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,dev,simon.mac@severntrent.co.uk,False
st1w10139,virtualmachines,st-pki-prod-neu-rg,production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,prod,,False
st1w3349,virtualmachines,st-storm-prod-neu-rg,production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,prod,homall1,True
st1w10024,virtualmachines,st-monitoring-ss-neu-rg,production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,ss,mark.gwynne@severntrent.co.uk,False
st2w3332,virtualmachines,st-jmeter-prod-neu-rg,production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,prod,sagarpandya,False
st1w3434,virtualmachines,st-access_control-prod-neu-rg,production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,prod,,True
st1w3436,virtualmachines,st-access_control-prod-neu-rg,production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,prod,,True
st1w10006,virtualmachines,st-biophase4-prod-neu-rg,production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,prod,,False
st1w3564,virtualmachines,st-blueprism-prod-neu-rg,production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,prod,shannon coleman,False
st1w10023,virtualmachines,st-chatbots-prod-neu-rg,production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,prod,bill.wilson@severntrent.co.uk,False
st1w10200,virtualmachines,st-cmpautotest-ss-neu-rg,production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,ss,hbenne1,False
st1w0826,virtualmachines,st-condeco-prod-neu-rg,production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,prod,,True
st1w10146,virtualmachines,st-ctxcloudconnectors-prod-neu-rg,production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,prod,,False
st1w10147,virtualmachines,st-ctxcloudconnectors-prod-neu-rg,production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,prod,,False
st1w10121,virtualmachines,st-jumpbox-prod-neu-rg,production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,prod,mark.gwynne@severntrent.co.uk,False
st1w10081,virtualmachines,st-ctxmgmt-prod-neu-rg,production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,prod,david kent,False
st1w10138,virtualmachines,st-ctxmgmt-prod-neu-rg,production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,prod,,False
st1w10054,virtualmachines,st-datastore-prod-neu-rg,production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,prod,tbc,False
st1w10056,virtualmachines,st-datastore-prod-neu-rg,production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,prod,mark gwynne,False
st1w10057,virtualmachines,st-datastore-prod-neu-rg,production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,prod,tbc,False
st1w10055,virtualmachines,st-datastore-prod-weu-rg,production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,prod,tbc,False
st1w3054,virtualmachines,st-dwsp-prod-neu-rg,production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,prod,mark gwynne,True
st1w10030,virtualmachines,st-epp-prod-neu-rg,production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,prod,sam.mathew@severntrent.co.uk,False
st1w10145,virtualmachines,st-igel-prod-neu-rg,production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,prod,,False
st2w3330,virtualmachines,st-jmeter-prod-neu-rg,production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,prod,sagarpandya,False
st2w3331,virtualmachines,st-jmeter-prod-neu-rg,production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,prod,sagarpandya,False
st1w10082,virtualmachines,st-ctxmgmt-prod-neu-rg,production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,prod,david kent,False
st1w10160,virtualmachines,st-tableau-prod-neu-rg,production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,prod,,False
st2w3010,virtualmachines,st-quislite-preprod-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,preprod,swatsoa,False
st4l10011,virtualmachines,st-oracledatastore-devtest-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,linux,devtest,mark adams,
st2w3107,virtualmachines,st-samplemanager-preprod-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,preprod,swatsoa,False
st2l10004,virtualmachines,st-oracledatastore-preprod-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,linux,preprod,swatsoa,False
st2w3108,virtualmachines,st-samplemanager-preprod-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,preprod,swatsoa,False
st3w10026,virtualmachines,st-netbase-test-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,test,paul taylor,False
st4l10096,virtualmachines,st-sap-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,linux,dev,simon.mac@severntrent.co.uk,False
st4w10094,virtualmachines,st-sap-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,dev,simon.mac@severntrent.co.uk,False
st4w10095,virtualmachines,st-sap-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,dev,simon.mac@severntrent.co.uk,False
st4w10098,virtualmachines,st-sap-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,dev,simon.mac@severntrent.co.uk,False
st4w10105,virtualmachines,st-sap-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,dev,simon.mac@severntrent.co.uk,False
st4w10100,virtualmachines,st-sap-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,dev,simon.mac@severntrent.co.uk,False
st4w10101,virtualmachines,st-sap-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,dev,simon.mac@severntrent.co.uk,False
st4w10102,virtualmachines,st-sap-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,dev,simon.mac@severntrent.co.uk,False
st4w10103,virtualmachines,st-sap-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,dev,simon.mac@severntrent.co.uk,False
st4w10104,virtualmachines,st-sap-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,dev,simon.mac@severntrent.co.uk,False
st4w10106,virtualmachines,st-sap-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,dev,simon.mac@severntrent.co.uk,False
st4w10107,virtualmachines,st-sap-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,dev,simon.mac@severntrent.co.uk,False
st4w10111,virtualmachines,st-sap-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,dev,simon.mac@severntrent.co.uk,False
st3w10025,virtualmachines,st-netbase-test-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,test,paul taylor,False
st4w10109,virtualmachines,st-sap-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,dev,simon.mac@severntrent.co.uk,False
st4w10110,virtualmachines,st-sap-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,dev,simon.mac@severntrent.co.uk,False
st4w10099,virtualmachines,st-sap-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,dev,simon.mac@severntrent.co.uk,False
st3l10083,virtualmachines,st-netbase-test-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,linux,test,paul taylor,False
st2w3361,virtualmachines,st-eda-preprod-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,preprod,ptaylo2,True
st2w10021,virtualmachines,st-netbase-preprod-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,preprod,paul taylor,False
st2w3054,virtualmachines,st-dwsp-preprod-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,preprod,mark gwynne,True
st4w10112,virtualmachines,st-sap-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,dev,simon.mac@severntrent.co.uk,False
st4w3054,virtualmachines,st-dwsp-devtest-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,devtest,swatsoa,True
st2w3356,virtualmachines,st-eda-preprod-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,preprod,ptaylo2,True
st2w3357,virtualmachines,st-eda-preprod-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,preprod,ptaylo2,True
st2w3359,virtualmachines,st-eda-preprod-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,preprod,ptaylo2,False
st2w3360,virtualmachines,st-eda-preprod-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,preprod,ptaylo2,True
st2w3362,virtualmachines,st-eda-preprod-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,preprod,ptaylo2,True
st4l19456,virtualmachines,st-friday-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,,,,
st4l19457,virtualmachines,st-friday-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,,,,
linvmpoc,virtualmachines,st-netbase-test-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,linux,test,paul taylor,False
st4w10028,virtualmachines,st-gisstdb-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,dev,steve allen,False
