resourcename,resourcetype,resourcegroup,subscriptionname,recommendationdisplayname,state,severity,os,environment,businessowner,In-HyperCare-scope
st2w3332,virtualmachines,st-jmeter-prod-neu-rg,production,endpoint protection health issues should be resolved on your machines,unhealthy,medium,windows,prod,sagarpandya,False
st2w3331,virtualmachines,st-jmeter-prod-neu-rg,production,endpoint protection health issues should be resolved on your machines,unhealthy,medium,windows,prod,sagarpandya,False
st1w10145,virtualmachines,st-igel-prod-neu-rg,production,endpoint protection health issues should be resolved on your machines,unhealthy,medium,windows,prod,,False
st1w3054,virtualmachines,st-dwsp-prod-neu-rg,production,endpoint protection health issues should be resolved on your machines,unhealthy,medium,windows,prod,mark gwynne,True
st1w10061,virtualmachines,st-datastore-prod-weu-rg,production,endpoint protection health issues should be resolved on your machines,unhealthy,medium,windows,prod,mark gwynne,False
st1w10055,virtualmachines,st-datastore-prod-weu-rg,production,endpoint protection health issues should be resolved on your machines,unhealthy,medium,windows,prod,tbc,False
st1w10057,virtualmachines,st-datastore-prod-neu-rg,production,endpoint protection health issues should be resolved on your machines,unhealthy,medium,windows,prod,tbc,False
st1w10054,virtualmachines,st-datastore-prod-neu-rg,production,endpoint protection health issues should be resolved on your machines,unhealthy,medium,windows,prod,tbc,False
st1w10138,virtualmachines,st-ctxmgmt-prod-neu-rg,production,endpoint protection health issues should be resolved on your machines,unhealthy,medium,windows,prod,,False
st1w10082,virtualmachines,st-ctxmgmt-prod-neu-rg,production,endpoint protection health issues should be resolved on your machines,unhealthy,medium,windows,prod,david kent,False
st1w10081,virtualmachines,st-ctxmgmt-prod-neu-rg,production,endpoint protection health issues should be resolved on your machines,unhealthy,medium,windows,prod,david kent,False
st1w10147,virtualmachines,st-ctxcloudconnectors-prod-neu-rg,production,endpoint protection health issues should be resolved on your machines,unhealthy,medium,windows,prod,,False
st1w10146,virtualmachines,st-ctxcloudconnectors-prod-neu-rg,production,endpoint protection health issues should be resolved on your machines,unhealthy,medium,windows,prod,,False
st1w0826,virtualmachines,st-condeco-prod-neu-rg,production,endpoint protection health issues should be resolved on your machines,unhealthy,medium,windows,prod,,True
st1w3564,virtualmachines,st-blueprism-prod-neu-rg,production,endpoint protection health issues should be resolved on your machines,unhealthy,medium,windows,prod,shannon coleman,False
st1w3436,virtualmachines,st-access_control-prod-neu-rg,production,endpoint protection health issues should be resolved on your machines,unhealthy,medium,windows,prod,,True
st1w3434,virtualmachines,st-access_control-prod-neu-rg,production,endpoint protection health issues should be resolved on your machines,unhealthy,medium,windows,prod,,True
st1w2732,virtualmachines,st-printandfile-prod-neu-rg,production,endpoint protection health issues should be resolved on your machines,unhealthy,medium,windows,prod,stuart brown,True
st1w2733,virtualmachines,st-printandfile-prod-neu-rg,production,endpoint protection health issues should be resolved on your machines,unhealthy,medium,windows,prod,stuart brown,True
st1w10058,virtualmachines,st-safeq-prod-neu-rg,production,endpoint protection health issues should be resolved on your machines,unhealthy,medium,windows,prod,stuart brown,False
st1w10160,virtualmachines,st-tableau-prod-neu-rg,production,endpoint protection health issues should be resolved on your machines,unhealthy,medium,windows,prod,,False
st1w3349,virtualmachines,st-storm-prod-neu-rg,production,endpoint protection health issues should be resolved on your machines,unhealthy,medium,windows,prod,homall1,True
st1w10060,virtualmachines,st-safeq-prod-neu-rg,production,endpoint protection health issues should be resolved on your machines,unhealthy,medium,windows,prod,stuart brown,False
st1w10059,virtualmachines,st-safeq-prod-neu-rg,production,endpoint protection health issues should be resolved on your machines,unhealthy,medium,windows,prod,stuart brown,False
st1w2734,virtualmachines,st-printandfile-prod-neu-rg,production,endpoint protection health issues should be resolved on your machines,unhealthy,medium,windows,prod,stuart brown,True
st2w3330,virtualmachines,st-jmeter-prod-neu-rg,production,endpoint protection health issues should be resolved on your machines,unhealthy,medium,windows,prod,sagarpandya,False
st2w3356,virtualmachines,st-eda-preprod-neu-rg,non-production,endpoint protection health issues should be resolved on your machines,unhealthy,medium,windows,preprod,ptaylo2,True
st2w3054,virtualmachines,st-dwsp-preprod-neu-rg,non-production,endpoint protection health issues should be resolved on your machines,unhealthy,medium,windows,preprod,mark gwynne,True
st4w3054,virtualmachines,st-dwsp-devtest-neu-rg,non-production,endpoint protection health issues should be resolved on your machines,unhealthy,medium,windows,devtest,swatsoa,True
st3w3054,virtualmachines,st-dwsp-devtest-neu-rg,non-production,endpoint protection health issues should be resolved on your machines,unhealthy,medium,windows,devtest,swatsoa,True
st2w10053,virtualmachines,st-datastore-preprod-neu-rg,non-production,endpoint protection health issues should be resolved on your machines,unhealthy,medium,windows,preprod,tbc,False
st2w19011,virtualmachines,st-ctxserver2019-preprod-neu-rg,non-production,endpoint protection health issues should be resolved on your machines,unhealthy,medium,windows,,,False
st2w10147,virtualmachines,st-ctxmgmtpreprod-preprod-neu-rg,non-production,endpoint protection health issues should be resolved on your machines,unhealthy,medium,windows,preprod,,False
st3w3152,virtualmachines,st-cmpproj-test-neu-rg,non-production,endpoint protection health issues should be resolved on your machines,unhealthy,medium,windows,test,hbenne1,True
st2w19010,virtualmachines,st-ctxmachine-preprod-neu-rg,non-production,endpoint protection health issues should be resolved on your machines,unhealthy,medium,windows,,,False
st4w10050,virtualmachines,st-ctximage-dev-neu-rg,non-production,endpoint protection health issues should be resolved on your machines,unhealthy,medium,windows,,,False
st3w3438,virtualmachines,st-cmpproj-test-neu-rg,non-production,endpoint protection health issues should be resolved on your machines,unhealthy,medium,windows,test,hbenne1,True
st4w3438,virtualmachines,st-cmpproj-dev-neu-rg,non-production,endpoint protection health issues should be resolved on your machines,unhealthy,medium,windows,dev,hbenne1,True
st4w3158,virtualmachines,st-cmpproj-dev-neu-rg,non-production,endpoint protection health issues should be resolved on your machines,unhealthy,medium,windows,dev,hbenne1,True
st1w1637,virtualmachines,st-cmpdevworkstation-dev-neu-rg,non-production,endpoint protection health issues should be resolved on your machines,unhealthy,medium,windows,dev,hbenne1,False
st2w3587,virtualmachines,st-blueprism-preprod-neu-rg,non-production,endpoint protection health issues should be resolved on your machines,unhealthy,medium,windows,preprod,shannon coleman,True
st2w3357,virtualmachines,st-eda-preprod-neu-rg,non-production,endpoint protection health issues should be resolved on your machines,unhealthy,medium,windows,preprod,ptaylo2,True
st2w10146,virtualmachines,st-ctxmgmtpreprod-preprod-neu-rg,non-production,endpoint protection health issues should be resolved on your machines,unhealthy,medium,windows,preprod,,False
st2w3359,virtualmachines,st-eda-preprod-neu-rg,non-production,endpoint protection health issues should be resolved on your machines,unhealthy,medium,windows,preprod,ptaylo2,False
st2w3349,virtualmachines,st-storm-preprod-neu-rg,non-production,endpoint protection health issues should be resolved on your machines,unhealthy,medium,windows,preprod,homall1,True
st2w3361,virtualmachines,st-eda-preprod-neu-rg,non-production,endpoint protection health issues should be resolved on your machines,unhealthy,medium,windows,preprod,ptaylo2,True
st2w3105,virtualmachines,st-totalview-preprod-neu-rg,non-production,endpoint protection health issues should be resolved on your machines,unhealthy,medium,windows,preprod,"towers,scott",True
st4w40003,virtualmachines,st-symantecpoc-dev-neu-rg,non-production,endpoint protection health issues should be resolved on your machines,unhealthy,medium,windows,dev,sam.mathew@severntrent.co.uk,False
st4w3338,virtualmachines,st-swim-devtest-neu-rg,non-production,endpoint protection health issues should be resolved on your machines,unhealthy,medium,windows,devtest,jscall1,False
st4w3334,virtualmachines,st-swim-devtest-neu-rg,non-production,endpoint protection health issues should be resolved on your machines,unhealthy,medium,windows,devtest,jscall1,False
